Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Fear Effect 2,PAL,SLES-03387,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
FIFA 2005,USA,SLUS-01585,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Regular,Good,Playable,Global default,"The audio fails occasionally.",MartStartIV
Final Fantasy VII,PAL,SCES-00867,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance",MartStartIV
Five Night At Freddy's (V1.2.5),Multi,HOMEBREW,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Game developed/adapted by the community",MartStartIV
Five Night At Freddy's 2 (V1.0.2),Multi,HOMEBREW,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Game developed/adapted by the community",MartStartIV
Formula 1 98,USA,SLUS-00762,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance",MartStartIV
Fomula one 2001,PAL,SCES-03424,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,None,Good,Regular,Not Playable,Yes,"You can't play the game.",MartStartIV
Formula one arcade,PAL,SCES-03886,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"Some clues might not work.",MartStartIV
Galerians,PAL,SLES-02328,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Gran turismo,PAL,SCES-00984,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
